,content
0,　　本報濟南1月2日電 (記者潘俊強)日前，備受關注的濟南“專車案”一審宣判。濟南市市中區人民法院對濟南市民陳超訴濟南市城市公共客運管理服務中心行政處罰一案作出一審宣判，判決撤銷濟南市客管中心對“專車”司機陳超的行政處罰。
1,　　2015年1月，陳超在使用專車軟件開“專車”送客時，被濟南市客管中心認定為非法運營的“黑車”，予以查扣並處2萬元罰款。隨後，陳超對處罰結果不滿，將濟南市客管中心告上法庭，要求撤銷行政處罰。
2,　　濟南市市中區人民法院審理認為，本案中，陳超在與乘客通過網絡約車軟件取得聯繫後，使用未取得運營證的車輛將乘客送至目的地，並按約定收取了車費。陳超的行為構成未經許可擅自從事出租汽車客運經營，違反了現行法律的規定。但慮及網約車這種共享經濟新業態的特殊背景，該行為的社會危害性較小。
3,　　同時，雖然被告對未經許可擅自從事出租汽車客運的行為可以依法進行處罰，但原告在本案所涉道路運輸經營行為中僅具體實施了其中的部分行為，在現有證據下，被告將本案行政處罰所針對的違法行為及其後果全部歸責於原告，並對其個人作出了較重的行政處罰，處罰幅度和數額畸重，存在明顯不當。根據《中華人民共和國行政訴訟法》第七十條的規定精神，依法應當予以撤銷。
4,　　本案宣判後，原告當庭表示不上訴，被告未當庭表示是否上訴。
5,　　編者按：新年伊始，新一批汽車新政如期而至。展望2017年的中國汽車市場，一些汽車新政無疑會對整個汽車市場格局以及產業結構調整產生不可忽視的導向作用，同時也會直接影響到消費者的日常汽車生活。
6,　　本文將對2017年的6項汽車新政進行總結，對其產生的影響也將進行預測和分析。
7,　　新能源汽車補貼退坡20%
8,　　政策：2016年12月30日，財政部、科技部、工業和信息化部、發展改革委聯合發佈了《關於調整新能源汽車推廣應用財政補貼政策的通知》，通知明確將調整完善推廣應用補貼政策。對新能源客車，以動力電池為補貼核心，以電池的生產成本和技術進步水平為核算依據，設定能耗水平、車輛續駛里程、電池/整車重量比重、電池性能水平等補貼准入門檻，並綜合考慮電池容量大小、能量密度水平、充電倍率、節油率等因素確定車輛補貼標準。同時，分別設置中央和地方補貼上限，其中地方財政補貼(地方各級財政補貼總和)不得超過中央財政單車補貼額的50%。除燃料電池汽車外，各類車型2019年~2020年中央及地方補貼標準和上限，在現行標準基礎上退坡20%。
9,　　影響：新能源汽車補貼退坡並不出乎意料。以一款帝豪EV為例，最大續航在250km以上，可享受國家和地方雙重補貼，以北京為例，2017年再買車的話，可享受的補貼為8.8萬元，補貼少了2.2萬元。
10,　　從長遠來看，當前我國新能源汽車市場還處於“政策驅動”的階段，伴隨著政府補貼政策進入退坡通道，行業或將進入發展的調整期，這將倒逼新能源汽車企業強化對核心技術的突破創新，推動車企通過提高自身綜合實力來降本增效，大力提升新能源汽車的性價比，在退坡的週期內逐漸走上依託市場自行發展的道路。
11,　　車輛購置稅由5%調至7.5%
12,　　政策：2016年12月15日，財政部與國家稅務總局聯合對外正式公佈1.6L以下乘用車購置稅優惠政策。自2017年1月1日起至12月31日止，對購置1.6升及以下排量的乘用車減按7.5%的稅率徵收車輛購置稅。自2018年1月1日起，恢復按10%的法定稅率徵收車輛購置稅。本通知所稱乘用車，是指在設計和技術特性上主要用於載運乘客及其隨身行李和(或)臨時物品、含駕駛員座位在內最多不超過9個座位的汽車。具體包括國產轎車、國產專用乘用車、其他國產乘用車、進口乘用車。據悉，此前小排量乘用車購置稅徵收為5%，該政策從2015年10月1日實施。
13,　　影響：購置稅減免給出的優惠程度由原來的5折變成了7.5折，減免程度有所降低。例如，1月1日後，新的購置稅徵收政策實施後，以購買10萬元1.6L以下排量乘用車為例，元旦前購車需繳納4273元購置稅，過了元旦就要繳納6410元購置稅。
14,　　有分析認為，因為小排量車整體售價較低，車輛購置稅將由5%調至7.5%的增幅影響有限，加之此前已經實施一年的購置稅減半優惠政策的強力導向作用，車市既有的火爆態勢已經形成，此次汽車購置稅優惠的“退坡”對車市的刺激作用或將減弱，但也有助於車市實現“軟著陸”，總體來看不會對車市形成較大震盪。
15,　　“超豪華小汽車”加徵10%消費稅
16,　　政策：2016年11月30日，財政部、國家稅務總局聯合發佈通知，2016年12月1日起，對零售價格130萬元(不含增值稅)及以上的乘用車和中輕型商用客車，在零售環節加徵消費稅，稅率為10%。
17,　　自1994年消費稅實施之日起便包含了汽車類稅目，目前現行的小汽車稅目分為乘用車和中輕型商用客車兩類。乘用車排量越大，徵收消費稅的稅率越高，稅率範圍在1%~40%之間，排量在4.0L以上的乘用車將適用最高40%消費稅稅率，中輕型商用客車則適用5%的消費稅率。
18,　　影響：加徵10%的消費稅無疑意味著豪華品牌購車成本的增加。假設購買一臺排量為4.1L、零售價為200萬元的豪車，2016年11月30日前需要繳納200萬元/1.17×40%=68萬元的消費稅。2016年12月1日就需要繳納200萬元/1.17× 40%+200萬元/1.17×10%=85萬元消費+豪華稅，等於購車費上漲了17萬元。
19,　　總體來說，130萬元的超豪華進口車在進口車銷量中的佔比很低，10%增值稅的出臺不會對整體市場造成太激烈的影響，但對於保護本土企業、推動自主品牌發展將起到一定的積極作用。這也從某種程度上體現出，未來消費稅的主要徵收產品對象必將向高汙染、高消費和高耗能等領域繼續推進。
20,　　國Ⅴ排放標準全面實施
21,　　政策：2016年12月26日，發改委、公安部等八部門聯合發出通知，2017年1月1日起，全國全面供應符合第五階段國家標準的車用汽柴油，同時停止國內銷售低於國Ⅴ標準車用汽柴油。公告要求，成品油生產、銷售企業按照現行國家標準進一步加強油品質量管理和控制，保障清潔油品市場供應；加油站(點)應按照相關法規和標準要求，明確標註所售汽油、柴油產品名稱、牌號和等級(如：92號汽油(V)，0號車用柴油(V)等)，以便於消費者選擇、政府監管和社會監督。
22,　　早在2016年4月1日，北京、天津、上海、河北省、山東省等11個地區就已開始實施國V排放標準，並已經停止低於國Ⅴ標準車用汽柴油。
23,　　新華社南寧1月1日電（記者趙剛）記者近日從廣西壯族自治區政府獲悉，“十三五”期間廣西計劃新增6.68萬輛電動汽車，在南寧、柳州、桂林等城市，公共充電樁與電動汽車比例不低於1：12。
24,　　“新能源汽車產業發展是新能源汽車推廣應用的重要支撐，目前廣西已具備一定的新能源汽車生產能力，新能源動力系統、動力電池、電機和電控等配套生產也逐步完善。”自治區工信委相關工作人員表示。
25,　　2015年廣西共新增推廣節能與新能源汽車1336輛。“十三五”期間廣西電動汽車計劃新增6.68萬輛，其中電動公交車3100輛，電動出租車310輛，電動環衛專用車120輛，電動物流行業專用車4300輛，電動私人乘用車5.9萬輛。
26,　　推廣使用新能源汽車，首先得解決電動汽車的充電問題。“十三五”期間，廣西將優先建設公交車、出租車及環衛與物流等公共服務領域充電基礎設施，結合居民區與單位停車位配建充電樁，合理佈局社會停車場所公共充電基礎設施。按照適度超前原則，結合骨幹高速公路網，建設城際快充網絡，滿足城際出行需要。
27,　　按照規劃，南寧、柳州、桂林等主要城市的公共充電樁與電動汽車比例不低於1：12，城市核心區公共充電服務半徑小於2公里。初步規劃到2020年，廣西建設充電站303座，充電樁7.6萬個，折算後共計可服務標準車輛10.4647萬輛。
28,　　影響：國Ⅴ排放標準全面實施後，所有制造、進口、銷售和註冊登記的輕型汽油車、重型柴油車(客車和公交、環衛、郵政用途)，須符合國V標準要求；與此同時，車用燃油也將進行油品升級，93#、97#汽油將會被92#、95#汽油全面替代。
29,　　升級後，油品使用性能改善，國五汽油的硫含量、錳含量、烯烴含量相應降低，油品使用性能改善，機動車各項排放指標也會有不同程度的改善。據官方統計，油品升級後，目前在用車的總體排放汙染物可減少10%~15%，而新車的氮氧化物排放量則可減少25%左右。國家標準委測算，標準實施後，預計在用車每年可減排氮氧化物約30萬噸，新車5年累計可減排氮氧化物約9萬噸。
30,　　車內空氣質量指南變強制性標準
31,　　政策：2016年初，由環保部和國家質檢總局聯合制定的強制性國家標準《乘用車內空氣質量評價指南》徵求意見稿正式發佈。新標準進一步收緊了汽車內部空氣中有害物質的限值，車內空氣中的苯、甲苯、二甲苯和乙苯等有害物質都有了更為嚴苛的限量值，並給出了汽車廠家強制執行的時間表：2017年1月1日起，所有新定型銷售車輛必須滿足本標準要求；此前已經定型的車輛，自2018年7月1日起實施強制標準要求。
32,　　據瞭解，該標準是在2011年發佈的《乘用車內空氣質量評價指南》基礎上重新修訂的，重新明確了乘用車內8種揮發性汙染物的濃度限值，特別針對苯、甲苯等致癌物質提出了更嚴格的要求。
33,　　影響：根據國家質檢總局此前披露的汽車產品缺陷信息的投訴情況信息顯示，當前，除變速器、安全氣囊、輪胎等質量問題之外，車內異味已經成為車主投訴最為集中的問題之一。但由於缺少相關管控標準、法律依據缺失，這直接導致了車內空氣質量問題日益加劇。
34,　　從推薦性指南修訂為強制性國家標準，被視為此次新標準意見稿的最大亮點。它不僅對車內空氣中的苯、甲苯、二甲苯和乙苯等有害物質有了更為嚴苛限量值，並給出了汽車廠家強制執行的時間表，這將要求生產企業不斷改進汽車內飾結構設計，使用更多的新技術、新材料、新工藝，更好提升和改善車內控制質量。
35,　　北京市實施“京六”排放標準
36,　　政策：2016年10月31日，北京市環保局發佈車用燃油“京六”排放標準，將於2017年1月起施行。其中，“京六”汽油標準立足於降低“揮發性有機物”排放，減少PM2.5和臭氧的生成；“京六”柴油標準則加嚴“多環芳烴”和“密度”範圍，加入“生物柴油”和“清淨劑”，有效減少顆粒物和氮氧化物的生成。
37,　　此前，北京市曾於2004年、2005年、2008年、2012年在全國率先實施了第二、三、四和五階段地方油品標準。
38,　　影響：北京在用汽油車使用第六階段油品後，相關數據顯示，車輛顆粒物排放降幅將達10%，非甲烷有機氣體、氮氧化物總體將實現8%~12%的排放削減率；在用柴油車使用第六階段油品後，氮氧化物可下降4.6%、顆粒物可下降9.1%、總碳氫化合物可下降8.3%、一氧化碳可下降2.2%。總體來看，上述各項指標在“京六”油品標準中的加嚴，有助於降低大氣氧化性，繼而減少PM2.5和臭氧的生成，也會對其他省份形成示範帶動作用。記者 王群
39,　　在經歷了持續爆出的“騙補”風波之後，中國的新能源汽車依然保持了高速的增長。根據工信部公佈的數據，2016年1月~11月，我國新能源汽車銷量達到40.2萬輛，同比增長60.4%，位列全球第一。工信部相關負責人預計，2016年我國新能源汽車全年的銷量或將突破50萬輛。
40,　　“騙補”難阻新能源汽車爆發
41,　　在產銷數量大幅增加的背後，新能源汽車的發展也引來了各方的青睞。
42,　　實際上，近年來，我國新能源汽車始終保持爆發式增長態勢，但令人意想不到的是，一些新能源汽車廠家騙取財政補貼的行為被曝光，讓這一行業的發展前景蒙上陰影。
43,　　不過，財政部、工信部等相關部委對此果斷採取措施，對於企業的騙補行為採取了徹底調查的措施，及時控制了局面。
44,　　去年的12月20日，工信部對外公佈了對蘇州金龍等企業的行政處罰決定，對涉及“有牌無車”的4家企業給予“責令停止生產銷售問題車型、暫停新能源汽車推薦目錄申報資質、責令進行為期6個月整改”等處罰措施。
45,　　據悉，此次對“騙補”企業的處理中，除國家層面依法對涉事企業進行嚴肅處置外，地方政府根據核查結果隨後啟動了依法追究有關人員責任的法律程序。例如，江蘇省根據財政部檢查結果，進一步核查落實相關職能部門及工作人員責任，涉事人員移交檢察機關、公安部門和行政監察部門；對相關企業負責人及政府工作人員涉嫌犯罪的，依法追究刑事責任；依法對涉嫌詐騙的蘇州吉姆西客車製造有限公司的相關人員執行逮捕。
46,　　“在政府的全面推動下，新能源汽車產業迅速形成市場，並全面帶動這一行業的技術進步，個別企業不應損害這一來之不易的成果。”中國汽車工業協會祕書長董揚接受本報記者採訪時說。
47,　　不過在董揚看來，此次國家整頓新能源汽車“騙補”，也給行業帶來了發展機會。
48,　　“如果說嚴肅懲處新能源汽車‘騙補’行為是為了剔除我國新能源汽車產業中的‘害群之馬’的話，那麼專項核查之後的整治工作無疑對規範、促進我國新能源汽車發展起到了積極作用。”
49,　　綜合我國2016年新能源汽車發展情況來看，經過本輪整頓，整個行業發展逐步規範，企業更加註重技術創新，市場也保持了平穩增長，我國新能源汽車產業步入了更加理性健康的發展階段。
50,　　據悉，自開展專項整治工作以來，大部分被處理處罰的企業都成立了專項整改小組，開展全面整改工作。
